Python
Java
SQL
MySQL
HTML
CSS
JavaScript
React
Git
GitHub
Data Structures
Algorithms
DBMS
Operating Systems
Computer Networks
Problem Solving
Analytical Skills
Cloud Computing
Excel
Power BI
Communication
Leadership
