Python
Java
C
C++
SQL
MySQL
HTML
CSS
JavaScript
Git
GitHub
Data Structures
OOP
DBMS
Operating Systems
Computer Networks
Problem Solving
Communication
Teamwork
Agile
Testing
Excel
