skill
Python
Java
C++
SQL
JavaScript
React
Node.js
AWS
Azure
Linux
Git
DevOps
Docker
Kubernetes
Cyber Security
Networking
Cloud Computing
Machine Learning
Power BI
Tableau
Excel
Software Testing
Selenium
Problem Solving
Communication
Agile
