skill
Python
Java
C#
SQL
JavaScript
React
Angular
Node.js
AWS
Azure
DevOps
Docker
Kubernetes
Machine Learning
Artificial Intelligence
Power BI
Tableau
Excel
Linux
Cyber Security
Networking
Git
GitHub
Testing
Selenium
Communication
Problem Solving
