skill
Networking
CCNA
CCNP
Python
Linux
Cyber Security
Network Security
Cloud Computing
AWS
Azure
Docker
Kubernetes
DevOps
Automation
Python Scripting
REST API
SQL
Git
GitHub
Problem Solving
Communication
