Python
SQL
Excel
Advanced Excel
Tableau
Power BI
Data Analysis
Data Visualization
Dashboard Development
Business Intelligence
Data Cleaning
Data Modeling
Pandas
NumPy
Statistics
Selenium
PyQt5
Scikit-Learn
Git
GitHub
MySQL
Machine Learning
